Official,Planned,Sub Region,Location,Location Description,Status,Location Description,Description,Event Comments,Event Type,Closure Start Date,Closure End Date,"Closure Duration (d,h,m)",Closure Duration (hh.mm),System Start Date,System End Date,"Event Duration (d,h,m)",Event Duration (hh.mm),Event ID,Impact Summary
Official,Unplanned,Bay of Plenty East,030-0144/02.15,Whakarewarewa,Resolved,Whakarewarewa,Fallen tree/s across highway,"Scott Street, SH30 is open.",Road Hazard,13-Feb-2023 21:47:00,14-Feb-2023 15:51:00,"18 h, 4 m",18.04,13-Feb-2023 21:19:00,14-Feb-2023 15:51:18,"18 h, 32 m",18.32,415418,"C, RC, "
Official,Unplanned,Bay of Plenty East,005-0029/10.02,Tirau to Rotorua,Resolved,Tirau to Rotorua,Crash,"Due to a crash between Dalbeth Road and Oturoa Road on SH5, the road is closed. Expect delays.",Road Hazard,14-Feb-2023 02:08:00,14-Feb-2023 10:09:00,"8 h, 1 m",8.01,13-Feb-2023 23:19:00,14-Feb-2023 10:10:32,"10 h, 51 m",10.51,415463,"C, RC, "
Official,Unplanned,Bay of Plenty East,002-0209/14.04,Pukehina to Matata,Resolved,Pukehina to Matata,Slip,"Due to multiple slips, SH2 is closed between Herepuru Rd and Old Coach Rd. Delay your journey.",Area Warning,14-Feb-2023 02:37:00,14-Feb-2023 16:35:00,"13 h, 58 m",13.58,14-Feb-2023 00:25:00,14-Feb-2023 16:35:29,"16 h, 10 m",16.10,415476,"D, RC, "
Official,Unplanned,Bay of Plenty East,005-0029/02.22,Rotorua to Tirau,Resolved,Rotorua to Tirau,Fallen tree/s across highway,"Due to multiple fallen trees west of Ngongotaha, SH5 is closed.  Delay your journey.",Road Hazard,14-Feb-2023 07:29:00,14-Feb-2023 10:37:00,"3 h, 8 m",3.08,14-Feb-2023 00:43:00,14-Feb-2023 10:38:02,"9 h, 55 m",9.55,415482,"C, RC, "
Official,Unplanned,Bay of Plenty East,030-0158/05.39,Tikitere to Rotoma,Resolved,Tikitere to Rotoma,Fallen tree/s across highway,A fallen tree has been reported blocking the road near the intersection of SH30 and Old SH30 Road. Avoid this route or delay your journey if possible.,Road Hazard,14-Feb-2023 07:27:00,14-Feb-2023 10:41:00,"3 h, 14 m",3.14,14-Feb-2023 01:16:00,14-Feb-2023 10:41:42,"9 h, 25 m",9.25,415495,"C, RC, "
Official,Unplanned,Bay of Plenty East,030-0158/00.09,Between SH33 and SH34,Resolved,Between SH33 and SH34,Slip,SH30 has re-opened following an earlier slip. Take care when driving through this area as some debris may remain.,Area Warning,14-Feb-2023 03:57:00,14-Feb-2023 11:19:00,"7 h, 22 m",7.22,14-Feb-2023 03:56:00,14-Feb-2023 11:19:54,"7 h, 23 m",7.23,415519, 
Official,Unplanned,Bay of Plenty East,002-0406/06.30-B,Opotiki to Puha,Resolved,Opotiki to Puha,Flooding,The road is now open.,Area Warning,28-Feb-2023 08:01:33,28-Feb-2023 11:05:37,"3 h, 4 m",3.04,28-Feb-2023 08:01:33,28-Feb-2023 11:08:32,"3 h, 7 m",3.07,417077,"RC, C, "
Official,Planned,Bay of Plenty East,030-0187/03.47,Rotoma,Resolved,Rotoma,Resurfacing,"Due to road works in this area, there will be a road closure between SH34 Military Road and Matahi Road during the day from Fri 03 March 8:30am to 5pm. Please use detour route and expect delays.",Road Work,03-Mar-2023 08:30:00,03-Mar-2023 17:00:00,"8 h, 30 m",8.30,28-Feb-2023 08:30:00,03-Mar-2023 17:00:00,"3 d, 8 h, 30 m",80.30,414724,"RC, C, RC, C, RC, C, "
Unofficial,Unplanned,Bay of Plenty East,005-0029/13.45,Tirau to Rotorua,Resolved,Tirau to Rotorua,Crash,"Due to a crash on SH5 near Western Road, the road is closed. Take extra care and expect delays.",Road Hazard,28-Feb-2023 20:47:00,28-Feb-2023 21:56:00,"1 h, 9 m",1.09,28-Feb-2023 19:51:00,28-Feb-2023 22:57:04,"3 h, 6 m",3.06,417173,"C, RC, "
Official,Planned,Bay of Plenty East,030-0187/03.70,Tikitere to Rotoma,Resolved,Tikitere to Rotoma,Resurfacing,"Due to road works in this area, there will be a road closure between SH34 Military Road and Matahi Road during the day from Monday 6th March 8:30am to 5pm. Please use detour route and expect delays.",Road Work,06-Mar-2023 08:30:00,08-Mar-2023 17:00:00,"2 d, 8 h, 30 m",56.30,06-Mar-2023 08:30:00,08-Mar-2023 17:00:00,"2 d, 8 h, 30 m",56.30,417483, 
Official,Unplanned,Bay of Plenty East,002-0243/10.83,Awakeri to Opotiki (Waimana Gorge),Resolved,Awakeri to Opotiki (Waimana Gorge),Crash,"Due to a crash on the Pekatahi Bridge, the road is blocked. Expect delays through this area and follow directions of emergency services onsite.",Road Hazard,10-Mar-2023 18:41:00,10-Mar-2023 19:03:00,22 m,0.22,10-Mar-2023 17:49:00,10-Mar-2023 19:03:21,"1 h, 14 m",1.14,418202,"C, D, RC, "
Official,Planned,Bay of Plenty East,030-0206/02.12,Te Teko to Awakeri,Resolved,Te Teko to Awakeri,Resurfacing,"Due to road works in this area SH30 will be closed between Te Teko Rd and Western Drain Rd between 8am and 5pm daily, from Mon 27 to Wed 29 March (3 days). Please use detour route and expect delays.",Area Warning,29-Mar-2023 08:00:00,29-Mar-2023 17:00:00,"9 h, 0 m",9.00,13-Mar-2023 12:18:00,28-Mar-2023 16:29:38,"15 d, 4 h, 11 m",364.11,418397,"RC, C, RC, C, RC, C, RC, C, "
Official,Planned,Bay of Plenty East,030-0147/01.75,Rotorua to (SH33) Tikitere,Resolved,Rotorua to (SH33) Tikitere,Resurfacing,"Due to road works in this area, there will be a Road Closure in place at night. Please take extra care and use the detour route Traffic will still be able to access shopping complex through the intersection from Iles Road.",Road Work,22-Mar-2023 20:00:00,29-Mar-2023 06:00:00,"6 d, 10 h, 0 m",154.00,22-Mar-2023 20:00:00,29-Mar-2023 06:00:00,"6 d, 10 h, 0 m",154.00,418859, 
Official,Planned,Bay of Plenty East,030-0206/12.07,Awakeri,Resolved,Awakeri,Pavement Repairs,"Due to road works in this area, a section of SH30 at the Awakeri intersection with SH2 will be closed at night between 7pm and 6am. There will be a detour in place. Please take extra care and plan your journey",Area Warning,27-Mar-2023 19:00:00,30-Mar-2023 06:00:00,"2 d, 11 h, 0 m",59.00,24-Mar-2023 10:35:00,14-Apr-2023 10:10:36,"20 d, 23 h, 35 m",503.35,419552, 
Official,Planned,Bay of Plenty East,030-0206/02.94,Te Teko to (SH2) Awakeri,Resolved,Te Teko to (SH2) Awakeri,Resurfacing,Due to road works in this area we have a road closure from Te Teko road to Western Drain Road. Closure will be from 8am to 5pm daily. Please use detour route and expect delays,Road Work,27-Mar-2023 08:00:00,31-Mar-2023 17:00:00,"4 d, 9 h, 0 m",105.00,27-Mar-2023 08:00:00,31-Mar-2023 17:00:00,"4 d, 9 h, 0 m",105.00,416444, 
Official,Planned,Bay of Plenty East,030-0147/01.81,Iles Road to Owhata Road,Active,Iles Road to Owhata Road,Road Construction,"Road improvement project between Iles Road and Owhata. Expect delays, temporary speed limits in place",Road Work,06-Aug-2023 21:00:00,11-Sep-2023 00:00:00,"35 d, 3 h, 0 m",843.00,05-Apr-2023 08:47:00,05-Apr-2024 00:00:00,"365 d, 15 h, 13 m",8775.13,420626,"D, RC, D, "
Unofficial,Unplanned,Bay of Plenty East,038-0131/00.00-B,Murupara to Waikaremoana,Resolved,Murupara to Waikaremoana,Other,The road is now clear.,Area Warning,08-Apr-2023 09:33:30,08-Apr-2023 16:38:28,"7 h, 5 m",7.05,08-Apr-2023 09:28:12,08-Apr-2023 17:32:12,"8 h, 4 m",8.04,420895,"C, RC, C, "
Official,Planned,Bay of Plenty East,30A-0000/01.24-D,Rotorua,Resolved,Rotorua,Resurfacing,Due to road works in this area the road will be closed from 16 April to 27 April from 7pm to 6am each day. Please take care and use detour.,Area Warning,26-Apr-2023 20:00:00, , , ,16-Apr-2023 20:00:00,20-Apr-2023 09:46:46,"3 d, 13 h, 46 m",85.46,421188,"RC, D, RC, D, RC, D, RC, D, RC, D, RC, D, RC, D, RC, "
Official,Unplanned,Bay of Plenty East,036-0028/15.57,Ngongataha to Hamurana,Resolved,Ngongataha to Hamurana,Crash,"Due to a serious crash near Dalbeth Rd, SH36 is now closed between Waiteti Rd and Leonard Rd and likely to remain closed for some time today as NZ Police undertake a serious crash investigation. Allow extra time for delays on short detour via local roads, not suitable for heavy vehicles.",Road Hazard,17-Apr-2023 11:50:00,17-Apr-2023 14:20:00,"2 h, 30 m",2.30,17-Apr-2023 11:19:00,17-Apr-2023 14:20:40,"3 h, 1 m",3.01,421692,"C, RC, "
Official,Unplanned,Bay of Plenty East,002-0345/00.39,Opotiki to Gisborne (Waioeka Gorge),Resolved,Opotiki to Gisborne (Waioeka Gorge),Slip,"Due to a slip, SH2 is closed between Opotiki and Gisborne. A detour is in place. Please follow the detour and allow extra time for your journey.",Road Hazard,20-Apr-2023 02:47:00,20-Apr-2023 05:03:00,"2 h, 16 m",2.16,20-Apr-2023 01:49:00,20-Apr-2023 05:03:51,"3 h, 14 m",3.14,421927,"C, RC, "
Unofficial,Unplanned,Bay of Plenty East,030-0170/05.82,Rotoiti Forest,Resolved,Rotoiti Forest,Other,"Due to a Police incident, the road is closed. Please follow directions of emergency services and allow extra time for your journey.",Road Hazard,21-Apr-2023 06:00:00,23-Apr-2023 11:36:00,"2 d, 5 h, 36 m",53.36,21-Apr-2023 05:59:00,23-Apr-2023 11:36:29,"2 d, 5 h, 37 m",53.37,422030, 
Official,Unplanned,Bay of Plenty East,034-0021/00.84,Rotoma,Resolved,Rotoma,Slip,"Due to a slip on State Highway 34, 1km north of Valley Rd, Kawerau one lane is open with stop/go traffic management in place. Drive with care in this area.",Road Hazard,02-May-2023 08:03:00,02-May-2023 10:08:00,"2 h, 5 m",2.05,02-May-2023 00:28:00,02-May-2023 13:45:37,"13 h, 17 m",13.17,423029,"C, RC, C, "
Unofficial,Unplanned,Bay of Plenty East,002-0243/00.29,Taneatua to Nukuhoui (Waimana Gorge),Resolved,Taneatua to Nukuhoui (Waimana Gorge),Flooding,"Due to multiple flooding and slip sites, this section of the road is closed from Station Rd,Taneatua through to Wainui Rd, Nukuhoui (Waimana Gorge). Avoid the area or delay your journey if possible.",Area Warning,02-May-2023 18:24:00,05-May-2023 14:56:00,"2 d, 20 h, 32 m",68.32,02-May-2023 18:20:00,05-May-2023 14:57:12,"2 d, 20 h, 37 m",68.37,423142, 
Unofficial,Unplanned,Bay of Plenty East,002-0258/02.12,Taneatua to Nukuhoui (Waimana Gorge),Resolved,Taneatua to Nukuhoui (Waimana Gorge),Flooding,"Due to multiple flooding and slip sites, this section of the road is closed from Station Rd,Taneatua through to Wainui Rd, Nukuhoui (Waimana Gorge). Avoid the area or delay your journey if possible.",Area Warning,02-May-2023 18:24:00,05-May-2023 14:56:00,"2 d, 20 h, 32 m",68.32,02-May-2023 18:20:00,05-May-2023 14:57:12,"2 d, 20 h, 37 m",68.37,423142, 
Unofficial,Unplanned,Bay of Plenty East,002-0258/02.11,Taneatua to Nukuhoui (Waimana Gorge),Resolved,Taneatua to Nukuhoui (Waimana Gorge),Flooding,"Due to multiple flooding and slip sites, this section of the road is closed from Station Rd,Taneatua through to Wainui Rd, Nukuhoui (Waimana Gorge). Avoid the area or delay your journey if possible.",Area Warning,02-May-2023 18:24:00,05-May-2023 14:56:00,"2 d, 20 h, 32 m",68.32,02-May-2023 18:20:00,05-May-2023 14:57:12,"2 d, 20 h, 37 m",68.37,423142, 
Official,Unplanned,Bay of Plenty East,002-0258/02.14,Taneatua to Kutarere (Waimana Gorge),Resolved,Taneatua to Kutarere (Waimana Gorge),Flooding,SH2 Waimana Gorge is now open.,Area Warning,02-May-2023 18:24:00,06-May-2023 12:56:00,"3 d, 18 h, 32 m",90.32,02-May-2023 18:24:00,06-May-2023 13:19:06,"3 d, 18 h, 55 m",90.55,423237,"RC, C, "
Official,Unplanned,Bay of Plenty East,030-0170/07.40,Tikitere to Rotoma,Resolved,Tikitere to Rotoma,Crash,"Due to a crash on #SH30 between Te Puakanga Rd and Morehu Rd, Rotuiti the road is blocked in both directions. Please follow directions of emergency services. Delays in the area are likely. Diversions may be required. Road closure is possible.",Road Hazard,05-May-2023 07:53:00,05-May-2023 09:06:00,"1 h, 13 m",1.13,05-May-2023 07:42:00,05-May-2023 09:07:22,"1 h, 25 m",1.25,423407,"C, RC, C, D, "
Official,Unplanned,Bay of Plenty East,036-0028/08.60,Tauranga to Ngongotaha,Resolved,Tauranga to Ngongotaha,Flooding,SH36 is now open under stop/go traffic management after flooding between Jackson Rd and Central Rd. Continue to drive with caution and expect some delays. ,Road Hazard,09-May-2023 18:50:00,10-May-2023 17:30:00,"22 h, 40 m",22.40,09-May-2023 18:49:00,12-May-2023 08:31:48,"2 d, 13 h, 42 m",61.42,423978,"RC, C, "
Unofficial,Unplanned,Bay of Plenty East,002-0232/10.20,Matata to (SH30) Awakeri,Resolved,Matata to (SH30) Awakeri,Flooding,"Bridge is susceptible to flooding, road in both directions has been closed. Awakeri Rd to Taneatua Rd",Road Hazard,10-May-2023 11:36:00,10-May-2023 11:45:00,9 m,0.09,10-May-2023 11:35:00,10-May-2023 11:57:44,22 m,0.22,424102,"RC, C, "
Official,Unplanned,Bay of Plenty East,002-0243/11.84,Awakeri to Taneatua,Resolved,Awakeri to Taneatua,Flooding,SH2 is now open between SH30 (Awakeri) and Taneatua Rd following earlier flooding affecting the Pekatahi Bridge. ,Area Warning,10-May-2023 11:45:00,10-May-2023 13:10:00,"1 h, 25 m",1.25,10-May-2023 11:45:00,10-May-2023 16:20:32,"4 h, 35 m",4.35,424107,"RC, C, "
Official,Unplanned,Bay of Plenty East,005-0029/13.37-B,Ngongotaha,Resolved,Ngongotaha,Slip,An earlier slip near Dansey Rd has been cleared and SH5 is now open.,Road Hazard,11-May-2023 04:28:00,11-May-2023 12:20:00,"7 h, 52 m",7.52,11-May-2023 03:00:00,11-May-2023 12:21:43,"9 h, 21 m",9.21,424203,"C, RC, C, "
Official,Unplanned,Bay of Plenty East,030-0158/00.73,Tikitere to Kawerau,Resolved,Tikitere to Kawerau,Fallen Tree/s Across Highway,"Due to slips and multiple fallen trees SH30 is OPEN between SH33 (Tikitere) and SH34/Kawerau Rd (Kawerau), however traffic management remains in place in some locations. Take extra care and allow extra time.",Area Warning,19-May-2023 07:50:00,19-May-2023 10:55:00,"3 h, 5 m",3.05,19-May-2023 07:45:00,19-May-2023 12:04:06,"4 h, 19 m",4.19,426010,"C, RC, C, "
Official,Unplanned,Bay of Plenty East,030-0170/12.14,Tikitere to Kawerau,Resolved,Tikitere to Kawerau,Fallen Tree/s Across Highway,"Due to slips and multiple fallen trees SH30 is OPEN between SH33 (Tikitere) and SH34/Kawerau Rd (Kawerau), however traffic management remains in place in some locations. Take extra care and allow extra time.",Area Warning,19-May-2023 07:50:00,19-May-2023 10:55:00,"3 h, 5 m",3.05,19-May-2023 07:45:00,19-May-2023 12:04:06,"4 h, 19 m",4.19,426010,"C, RC, C, "
Official,Unplanned,Bay of Plenty East,030-0158/00.42,"Kawerau to Tikitere, Westbound",Resolved,"Kawerau to Tikitere, Westbound",Slip,"Due to significant underslips, a partial road closure remains in place as geotechnical investigations are completed. Currently, SH30 is closed to westbound traffic between SH34 (Kawerau) and SH30 (Tikitere). A detour via Matata and Paengaroa is required. Eastbound traffic may still travel this section of SH30 with caution.",Area Warning,19-May-2023 16:25:00,22-May-2023 00:00:00,"2 d, 7 h, 35 m",55.35,19-May-2023 16:11:00,22-May-2023 11:24:31,"2 d, 19 h, 13 m",67.13,426100, 
Official,Unplanned,Bay of Plenty East,002-0209/10.29,Matata ,Resolved,Matata ,Crash,Due to a Serious Crash SH2 is closed at Matata. Delay your journey. Expect long delays,Road Hazard,21-May-2023 12:02:00,21-May-2023 15:10:00,"3 h, 8 m",3.08,21-May-2023 11:48:00,21-May-2023 15:11:16,"3 h, 23 m",3.23,426332,"C, RC, "
Official,Unplanned,Bay of Plenty East,030-0187/00.48,Rotoma,Resolved,Rotoma,Slip,"Following a significant underslip, SH30 is open between SH34 (Kawerau) and Matahi Rd (Lake Rotoma) for all vehicles in both directions with traffic management in place. Allow extra time.",Area Warning,30-May-2023 04:50:00,30-May-2023 06:00:00,"1 h, 10 m",1.10,22-May-2023 00:00:00,05-Sep-2023 07:58:48,"106 d, 7 h, 58 m",2551.58,426448,"RC, C, RC, C, "
Official,Planned,Bay of Plenty East,030-0115/01.29,Atiamuri to Rotorua,Resolved,Atiamuri to Rotorua,Bridge Repairs,"Due to maintenance on Taahunaatara bridge, there will be a road closure of SH30, between Nicholson Road and Ohakuri Road in the Horohoro area, from 7am Monday 12 June until 5pm Friday 16 June. Please use the appropriate detour and take extra care.",Area Warning,12-Jun-2023 07:00:00,16-Jun-2023 00:00:00,"3 d, 17 h, 0 m",89.00,12-Jun-2023 07:00:00,16-Jun-2023 15:46:10,"4 d, 8 h, 46 m",104.46,427479, 
Official,Unplanned,Bay of Plenty East,036-0028/13.56,Tauranga to Ngongotaha,Resolved,Tauranga to Ngongotaha,Crash,"Due to a crash, SH36 is closed between Central Rd and Tauranga Direct Rd.
Follow directions of emergency services or delay your journey",Road Hazard,25-Jun-2023 12:09:00,25-Jun-2023 14:18:00,"2 h, 9 m",2.09,25-Jun-2023 11:50:00,25-Jun-2023 14:19:06,"2 h, 29 m",2.29,431846,"C, RC, "
Official,Unplanned,Bay of Plenty East,035-0011/01.09,Opotiki to Te Araroa,Resolved,Opotiki to Te Araroa,Crash,Due to a crash SH35 is closed between Motu Rd and Omarumutu Rd. Delay your journey or consider alternative route.,Road Hazard,29-Jun-2023 19:18:00,29-Jun-2023 21:11:00,"1 h, 53 m",1.53,29-Jun-2023 18:25:00,29-Jun-2023 21:11:44,"2 h, 46 m",2.46,432305,"C, RC, "
Official,Unplanned,Bay of Plenty East,005-0045/03.97-I,Rotorua,Resolved,Rotorua,Crash,A serious crash has been reported to emergency services south of Kawaha Point Rd. A southbound lane is blocked.  Pass with care.,Road Hazard,01-Jul-2023 09:58:00,01-Jul-2023 12:10:00,"2 h, 12 m",2.12,01-Jul-2023 08:29:00,01-Jul-2023 12:11:10,"3 h, 42 m",3.42,432465,"D, RC, "
Official,Planned,Bay of Plenty East,002-0243/10.54,Pekatahi Bridge,Resolved,Pekatahi Bridge,Bridge Repairs,"Due to planned maintenance on the Pekatahi Bridge commencing 4 July to 6 July 2023, a road closure will be in place between 8:30am to 4:30pm daily.",Area Warning,04-Jul-2023 00:00:00,06-Jul-2023 00:00:00,"2 d, 0 m",48.00,04-Jul-2023 00:00:00,06-Jul-2023 16:30:00,"2 d, 16 h, 30 m",64.30,427568,"RC, C, RC, C, RC, C, RC, "
Official,Unplanned,Bay of Plenty East,035-0021/03.35,From Torere Beach to Hawai Beach,Resolved,From Torere Beach to Hawai Beach,Crash,"SH35 is now open under Stop/Go traffic management. Consider using an alternative route 
or expect delays until vehicle recovery can be fully completed.",Road Hazard,06-Aug-2023 14:52:00,06-Aug-2023 19:41:00,"4 h, 49 m",4.49,06-Aug-2023 14:52:00,07-Aug-2023 03:04:27,"12 h, 12 m",12.12,436908,"RC, D, "
Official,Unplanned,Bay of Plenty East,035-0000/04.88,Opotiki to Te Araroa,Resolved,Opotiki to Te Araroa,Slip,"SH35 is now open again in both directions via one lane (follow the posted give-way system), after a slip occurred between Beach Rd and Motu River Bridge. Please follow the temporary speed limit of 30km/hr here.",Road Hazard,20-Aug-2023 14:22:00,21-Aug-2023 15:15:00,"1 d, 53 m",24.53,20-Aug-2023 14:18:00,23-Aug-2023 16:06:15,"3 d, 1 h, 48 m",73.48,439158,"RC, C, "
Official,Planned,Bay of Plenty East,005-0050/00.09-I,La Trobe Place to Malfroy Road,Resolved,La Trobe Place to Malfroy Road,Resurfacing,"Due to road resurfacing works between La Trobe Place and Malfroy Road, there will be overnight road closures in place on SH5 (Old Taupo Rd) between 8pm and 5am, Sun-Thu nights (17-21 Sep). Allow extra time for detour.",Road Work,21-Sep-2023 20:00:00,22-Sep-2023 05:00:00,"9 h, 0 m",9.00,17-Sep-2023 20:00:00,22-Sep-2023 05:00:00,"4 d, 9 h, 0 m",105.00,440986,"RC, D, RC, D, RC, D, RC, D, D, RC, "
Official,Planned,Bay of Plenty East,002-0232/02.17,"Gow Rd to Puriri Cres, Edgecumbe",Resolved,"Gow Rd to Puriri Cres, Edgecumbe",Pavement Repairs,"Due to road rehabilitation on SH2 Matata Road, a full road closure will be in place between Gow Road and Puriri Crescent from Tue 24 Oct to Sat 25 Nov, between 7.30am and 4.30pm each day (Mon - Sat). Expect moderate delays. ",Road Work,20-Nov-2023 07:30:00,20-Nov-2023 16:30:00,"9 h, 0 m",9.00,18-Sep-2023 09:00:00,20-Nov-2023 16:30:00,"63 d, 7 h, 30 m",1519.30,440145,"D, RC, D, RC, D, RC, D, RC, D, RC, D, RC, D, RC, D, RC, D, RC, D, RC, D, RC, D, RC, D, RC, D, RC, D, D, RC, D, RC, D, RC, D, RC, D, RC, D, RC, D, RC, RC, D, "
Official,Unplanned,Bay of Plenty East,002-0294/02.22,Awakeri to Opotiki (Waiotahe Beach),Resolved,Awakeri to Opotiki (Waiotahe Beach),Slip,"SH2 is closed in both directions in the Waiotahe Beach area, west of Opotiki, between Paerata Ridge Rd and Waiotahe Valley Back Rd due to a slip.",Road Hazard,25-Sep-2023 15:05:00,26-Sep-2023 14:05:00,"23 h, 0 m",23.00,25-Sep-2023 05:13:00,26-Sep-2023 14:06:07,"1 d, 8 h, 53 m",32.53,443255,"RC, C, "
Official,Planned,Bay of Plenty East,005-0045/05.57,Malfroy St to Lake Rd (Old Taupo Rd),Resolved,Malfroy St to Lake Rd (Old Taupo Rd),Bridge Repairs,"SH5 Utuhina bridge on Old Taupo Rd (SH5) is closed in both directions between Pukuatua St and Sunset Rd from 7am, Mon 25 Sep until mid-October.  ",Road Work,25-Sep-2023 07:00:00,12-Oct-2023 19:00:00,"17 d, 12 h, 0 m",420.00,25-Sep-2023 07:00:00,12-Oct-2023 19:00:00,"17 d, 12 h, 0 m",420.00,440116,"C, RC, "
Official,Unplanned,Bay of Plenty East,035-0049/01.66,Opotiki to Te Araroa,Resolved,Opotiki to Te Araroa,Slip,"Due to a slip partially blocking, caution is advised along this route. Temporary traffic management is in place.",Road Hazard,25-Sep-2023 15:41:00,25-Sep-2023 19:22:00,"3 h, 41 m",3.41,25-Sep-2023 15:40:00,27-Sep-2023 06:24:12,"1 d, 14 h, 44 m",38.44,443363,"C, RC, "
Official,Unplanned,Bay of Plenty East,035-0028/00.94,Hawai to Omaio,Resolved,Hawai to Omaio,Slip,"Due to a slip at Motu Bluff, SH35 is closed between Hawai and Omaio until further notice. Resident access through the work site will be made available from 8am-9am, 12pm to 1pm and from 5.30pm-6.30pm daily until the full reopening is possible.",Area Warning,27-Sep-2023 06:00:00,29-Sep-2023 17:20:00,"2 d, 11 h, 20 m",59.20,26-Sep-2023 06:56:00,29-Sep-2023 17:21:29,"3 d, 10 h, 25 m",82.25,443407,"RC, C, "
